width,height,patches,sm_fraction,latency_ms,mean_ms,std_ms,samples,backend,sm_enforced
224,224,49,1.0,10.657792091369629,12.094220733642578,2.8429964267449055,5,proxy,False
336,336,100,1.0,13.355008125305176,13.420748901367187,2.0130726952366835,5,proxy,False
448,448,196,1.0,10.875904083251953,12.840550422668457,4.515305769322295,5,proxy,False
672,672,441,1.0,19.574783325195312,19.659199905395507,3.6984920658512257,5,proxy,False
